 Total Nb of available Diagnostics: ndiagt=   727
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   519 |Tp_gTr23| 23 |       |SMR     MR|logzmm/s        |zm01 total transport tendency (before gchem_forcing_sep)
   520 |ADVrTr23| 23 |       |WM      LR|logzmm.m^3/s    |Vertical   Advective Flux of zm01
   521 |ADVxTr23| 23 |   522 |UU      MR|logzmm.m^3/s    |Zonal      Advective Flux of zm01
   522 |ADVyTr23| 23 |   521 |VV      MR|logzmm.m^3/s    |Meridional Advective Flux of zm01
   523 |DFrETr23| 23 |       |WM      LR|logzmm.m^3/s    |Vertical Diffusive Flux of zm01 (Explicit part)
   524 |DFxETr23| 23 |   525 |UU      MR|logzmm.m^3/s    |Zonal      Diffusive Flux of zm01
   525 |DFyETr23| 23 |   524 |VV      MR|logzmm.m^3/s    |Meridional Diffusive Flux of zm01
   526 |DFrITr23| 23 |       |WM      LR|logzmm.m^3/s    |Vertical Diffusive Flux of zm01 (Implicit part)
   527 |KPPgTr23| 23 |       |WM      LR|logzmm.m^3/s    |KPP non-local Flux of zm01
   528 |TRAC24  | 23 |       |SMR     MR|logx^2          |xxv01 concentration
   529 |UTRAC24 | 23 |   530 |UUr     MR|logx^2.m/s      |Zonal Mass-Weighted Transp of xxv01
   530 |VTRAC24 | 23 |   529 |VVr     MR|logx^2.m/s      |Merid Mass-Weighted Transp of xxv01
   531 |WTRAC24 | 23 |       |WM      MR|logx^2.m/s      |Vert  Mass-Weighted Transp of xxv01
   532 |ForcTr24| 23 |       |SMR     MR|logx^2/s        |xxv01 forcing tendency
   533 |AB_gTr24| 23 |       |SMR     MR|logx^2/s        |xxv01 tendency from Adams-Bashforth
   534 |Tp_gTr24| 23 |       |SMR     MR|logx^2/s        |xxv01 total transport tendency (before gchem_forcing_sep)
   535 |ADVrTr24| 23 |       |WM      LR|logx^2.m^3/s    |Vertical   Advective Flux of xxv01
   536 |ADVxTr24| 23 |   537 |UU      MR|logx^2.m^3/s    |Zonal      Advective Flux of xxv01
   537 |ADVyTr24| 23 |   536 |VV      MR|logx^2.m^3/s    |Meridional Advective Flux of xxv01
   538 |DFrETr24| 23 |       |WM      LR|logx^2.m^3/s    |Vertical Diffusive Flux of xxv01 (Explicit part)
   539 |DFxETr24| 23 |   540 |UU      MR|logx^2.m^3/s    |Zonal      Diffusive Flux of xxv01
   540 |DFyETr24| 23 |   539 |VV      MR|logx^2.m^3/s    |Meridional Diffusive Flux of xxv01
   541 |DFrITr24| 23 |       |WM      LR|logx^2.m^3/s    |Vertical Diffusive Flux of xxv01 (Implicit part)
   542 |KPPgTr24| 23 |       |WM      LR|logx^2.m^3/s    |KPP non-local Flux of xxv01
   543 |TRAC25  | 23 |       |SMR     MR|degC^2          |yyv01 concentration
   544 |UTRAC25 | 23 |   545 |UUr     MR|degC^2.m/s      |Zonal Mass-Weighted Transp of yyv01
   545 |VTRAC25 | 23 |   544 |VVr     MR|degC^2.m/s      |Merid Mass-Weighted Transp of yyv01
   546 |WTRAC25 | 23 |       |WM      MR|degC^2.m/s      |Vert  Mass-Weighted Transp of yyv01
   547 |ForcTr25| 23 |       |SMR     MR|degC^2/s        |yyv01 forcing tendency
   548 |AB_gTr25| 23 |       |SMR     MR|degC^2/s        |yyv01 tendency from Adams-Bashforth
   549 |Tp_gTr25| 23 |       |SMR     MR|degC^2/s        |yyv01 total transport tendency (before gchem_forcing_sep)
   550 |ADVrTr25| 23 |       |WM      LR|degC^2.m^3/s    |Vertical   Advective Flux of yyv01
   551 |ADVxTr25| 23 |   552 |UU      MR|degC^2.m^3/s    |Zonal      Advective Flux of yyv01
   552 |ADVyTr25| 23 |   551 |VV      MR|degC^2.m^3/s    |Meridional Advective Flux of yyv01
   553 |DFrETr25| 23 |       |WM      LR|degC^2.m^3/s    |Vertical Diffusive Flux of yyv01 (Explicit part)
   554 |DFxETr25| 23 |   555 |UU      MR|degC^2.m^3/s    |Zonal      Diffusive Flux of yyv01
   555 |DFyETr25| 23 |   554 |VV      MR|degC^2.m^3/s    |Meridional Diffusive Flux of yyv01
   556 |DFrITr25| 23 |       |WM      LR|degC^2.m^3/s    |Vertical Diffusive Flux of yyv01 (Implicit part)
   557 |KPPgTr25| 23 |       |WM      LR|degC^2.m^3/s    |KPP non-local Flux of yyv01
   558 |TRAC26  | 23 |       |SMR     MR|logz^2          |zzv01 concentration
   559 |UTRAC26 | 23 |   560 |UUr     MR|logz^2.m/s      |Zonal Mass-Weighted Transp of zzv01
   560 |VTRAC26 | 23 |   559 |VVr     MR|logz^2.m/s      |Merid Mass-Weighted Transp of zzv01
   561 |WTRAC26 | 23 |       |WM      MR|logz^2.m/s      |Vert  Mass-Weighted Transp of zzv01
   562 |ForcTr26| 23 |       |SMR     MR|logz^2/s        |zzv01 forcing tendency
   563 |AB_gTr26| 23 |       |SMR     MR|logz^2/s        |zzv01 tendency from Adams-Bashforth
   564 |Tp_gTr26| 23 |       |SMR     MR|logz^2/s        |zzv01 total transport tendency (before gchem_forcing_sep)
   565 |ADVrTr26| 23 |       |WM      LR|logz^2.m^3/s    |Vertical   Advective Flux of zzv01
   566 |ADVxTr26| 23 |   567 |UU      MR|logz^2.m^3/s    |Zonal      Advective Flux of zzv01
   567 |ADVyTr26| 23 |   566 |VV      MR|logz^2.m^3/s    |Meridional Advective Flux of zzv01
   568 |DFrETr26| 23 |       |WM      LR|logz^2.m^3/s    |Vertical Diffusive Flux of zzv01 (Explicit part)
   569 |DFxETr26| 23 |   570 |UU      MR|logz^2.m^3/s    |Zonal      Diffusive Flux of zzv01
   570 |DFyETr26| 23 |   569 |VV      MR|logz^2.m^3/s    |Meridional Diffusive Flux of zzv01
   571 |DFrITr26| 23 |       |WM      LR|logz^2.m^3/s    |Vertical Diffusive Flux of zzv01 (Implicit part)
   572 |KPPgTr26| 23 |       |WM      LR|logz^2.m^3/s    |KPP non-local Flux of zzv01
   573 |TRAC27  | 23 |       |SMR     MR|logx de         |xyc01 concentration
   574 |UTRAC27 | 23 |   575 |UUr     MR|logxde.m/s      |Zonal Mass-Weighted Transp of xyc01
   575 |VTRAC27 | 23 |   574 |VVr     MR|logxde.m/s      |Merid Mass-Weighted Transp of xyc01
   576 |WTRAC27 | 23 |       |WM      MR|logxde.m/s      |Vert  Mass-Weighted Transp of xyc01
   577 |ForcTr27| 23 |       |SMR     MR|logxde/s        |xyc01 forcing tendency
   578 |AB_gTr27| 23 |       |SMR     MR|logxde/s        |xyc01 tendency from Adams-Bashforth
   579 |Tp_gTr27| 23 |       |SMR     MR|logxde/s        |xyc01 total transport tendency (before gchem_forcing_sep)
   580 |ADVrTr27| 23 |       |WM      LR|logxde.m^3/s    |Vertical   Advective Flux of xyc01
   581 |ADVxTr27| 23 |   582 |UU      MR|logxde.m^3/s    |Zonal      Advective Flux of xyc01
   582 |ADVyTr27| 23 |   581 |VV      MR|logxde.m^3/s    |Meridional Advective Flux of xyc01
   583 |DFrETr27| 23 |       |WM      LR|logxde.m^3/s    |Vertical Diffusive Flux of xyc01 (Explicit part)
   584 |DFxETr27| 23 |   585 |UU      MR|logxde.m^3/s    |Zonal      Diffusive Flux of xyc01
   585 |DFyETr27| 23 |   584 |VV      MR|logxde.m^3/s    |Meridional Diffusive Flux of xyc01
   586 |DFrITr27| 23 |       |WM      LR|logxde.m^3/s    |Vertical Diffusive Flux of xyc01 (Implicit part)
   587 |KPPgTr27| 23 |       |WM      LR|logxde.m^3/s    |KPP non-local Flux of xyc01
   588 |TRAC28  | 23 |       |SMR     MR|logx lo         |xzc01 concentration
   589 |UTRAC28 | 23 |   590 |UUr     MR|logxlo.m/s      |Zonal Mass-Weighted Transp of xzc01
   590 |VTRAC28 | 23 |   589 |VVr     MR|logxlo.m/s      |Merid Mass-Weighted Transp of xzc01
   591 |WTRAC28 | 23 |       |WM      MR|logxlo.m/s      |Vert  Mass-Weighted Transp of xzc01
   592 |ForcTr28| 23 |       |SMR     MR|logxlo/s        |xzc01 forcing tendency
   593 |AB_gTr28| 23 |       |SMR     MR|logxlo/s        |xzc01 tendency from Adams-Bashforth
   594 |Tp_gTr28| 23 |       |SMR     MR|logxlo/s        |xzc01 total transport tendency (before gchem_forcing_sep)
   595 |ADVrTr28| 23 |       |WM      LR|logxlo.m^3/s    |Vertical   Advective Flux of xzc01
   596 |ADVxTr28| 23 |   597 |UU      MR|logxlo.m^3/s    |Zonal      Advective Flux of xzc01
   597 |ADVyTr28| 23 |   596 |VV      MR|logxlo.m^3/s    |Meridional Advective Flux of xzc01
   598 |DFrETr28| 23 |       |WM      LR|logxlo.m^3/s    |Vertical Diffusive Flux of xzc01 (Explicit part)
   599 |DFxETr28| 23 |   600 |UU      MR|logxlo.m^3/s    |Zonal      Diffusive Flux of xzc01
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   600 |DFyETr28| 23 |   599 |VV      MR|logxlo.m^3/s    |Meridional Diffusive Flux of xzc01
   601 |DFrITr28| 23 |       |WM      LR|logxlo.m^3/s    |Vertical Diffusive Flux of xzc01 (Implicit part)
   602 |KPPgTr28| 23 |       |WM      LR|logxlo.m^3/s    |KPP non-local Flux of xzc01
   603 |TRAC29  | 23 |       |SMR     MR|degC lo         |yzc01 concentration
   604 |UTRAC29 | 23 |   605 |UUr     MR|degClo.m/s      |Zonal Mass-Weighted Transp of yzc01
   605 |VTRAC29 | 23 |   604 |VVr     MR|degClo.m/s      |Merid Mass-Weighted Transp of yzc01
   606 |WTRAC29 | 23 |       |WM      MR|degClo.m/s      |Vert  Mass-Weighted Transp of yzc01
   607 |ForcTr29| 23 |       |SMR     MR|degClo/s        |yzc01 forcing tendency
   608 |AB_gTr29| 23 |       |SMR     MR|degClo/s        |yzc01 tendency from Adams-Bashforth
   609 |Tp_gTr29| 23 |       |SMR     MR|degClo/s        |yzc01 total transport tendency (before gchem_forcing_sep)
   610 |ADVrTr29| 23 |       |WM      LR|degClo.m^3/s    |Vertical   Advective Flux of yzc01
   611 |ADVxTr29| 23 |   612 |UU      MR|degClo.m^3/s    |Zonal      Advective Flux of yzc01
   612 |ADVyTr29| 23 |   611 |VV      MR|degClo.m^3/s    |Meridional Advective Flux of yzc01
   613 |DFrETr29| 23 |       |WM      LR|degClo.m^3/s    |Vertical Diffusive Flux of yzc01 (Explicit part)
   614 |DFxETr29| 23 |   615 |UU      MR|degClo.m^3/s    |Zonal      Diffusive Flux of yzc01
   615 |DFyETr29| 23 |   614 |VV      MR|degClo.m^3/s    |Meridional Diffusive Flux of yzc01
   616 |DFrITr29| 23 |       |WM      LR|degClo.m^3/s    |Vertical Diffusive Flux of yzc01 (Implicit part)
   617 |KPPgTr29| 23 |       |WM      LR|degClo.m^3/s    |KPP non-local Flux of yzc01
   618 |TRAC30  | 23 |       |SMR     MR|mmol C/         |c02 concentration
   619 |UTRAC30 | 23 |   620 |UUr     MR|mmolC/.m/s      |Zonal Mass-Weighted Transp of c02
   620 |VTRAC30 | 23 |   619 |VVr     MR|mmolC/.m/s      |Merid Mass-Weighted Transp of c02
   621 |WTRAC30 | 23 |       |WM      MR|mmolC/.m/s      |Vert  Mass-Weighted Transp of c02
   622 |ForcTr30| 23 |       |SMR     MR|mmolC//s        |c02 forcing tendency
   623 |AB_gTr30| 23 |       |SMR     MR|mmolC//s        |c02 tendency from Adams-Bashforth
   624 |Tp_gTr30| 23 |       |SMR     MR|mmolC//s        |c02 total transport tendency (before gchem_forcing_sep)
   625 |ADVrTr30| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical   Advective Flux of c02
   626 |ADVxTr30| 23 |   627 |UU      MR|mmolC/.m^3/s    |Zonal      Advective Flux of c02
   627 |ADVyTr30| 23 |   626 |VV      MR|mmolC/.m^3/s    |Meridional Advective Flux of c02
   628 |DFrETr30| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of c02 (Explicit part)
   629 |DFxETr30| 23 |   630 |UU      MR|mmolC/.m^3/s    |Zonal      Diffusive Flux of c02
   630 |DFyETr30| 23 |   629 |VV      MR|mmolC/.m^3/s    |Meridional Diffusive Flux of c02
   631 |DFrITr30| 23 |       |WM      LR|mmolC/.m^3/s    |Vertical Diffusive Flux of c02 (Implicit part)
   632 |KPPgTr30| 23 |       |WM      LR|mmolC/.m^3/s    |KPP non-local Flux of c02
   633 |Add2EmP |  1 |       |SM      U1|kg/m^2/s        |additional EmP from salt relaxation
   634 |PP      | 23 |       |SMRP    MR|mmol C/m^3/s    |Primary Production
   635 |Nfix    | 23 |       |SMRP    MR|mmol N/m^3/s    |N fixation
   636 |Denit   | 23 |       |SMRP    MR|mmol N/m^3/s    |Denitrification
   637 |DenitN  | 23 |       |SMRP    MR|mmol N/m^3/s    |Nitrogen loss due to denitrification
   638 |atten   | 23 |       |SMRP    MR|1               |attenuation in layer
   639 |PARF    | 23 |       |SMRP    LR|uEin/m^2/s      |PAR at top of layer
   640 |PAR     | 23 |       |SMRP    MR|uEin/m^2/s      |total PAR at layer center
   641 |C_DIN   | 23 |       |SM P    MR|mmolN/m3/s      |consumption of DIN
   642 |C_PO4   | 23 |       |SM P    MR|mmolP/m3/s      |consumption of PO4
   643 |C_Si    | 23 |       |SM P    MR|mmolSi/m3/s     |consumption of Si
   644 |C_Fe    | 23 |       |SM P    MR|mmolFe/m3/s     |consumption of Fe
   645 |S_DIN   | 23 |       |SM      MR|mmolN/m3/s      |non-transport source of DIN
   646 |S_PO4   | 23 |       |SM      MR|mmolP/m3/s      |non-transport source of PO4
   647 |S_Si    | 23 |       |SM      MR|mmolSi/m3/s     |non-transport source of Si
   648 |S_Fe    | 23 |       |SM      MR|mmolFe/m3/s     |non-transport source of Fe
   649 |gDAR01  | 23 |       |SMR     MR|mmolC//s        |DIC tendency from DARWIN
   650 |gDAR02  | 23 |       |SMR     MR|mmolN//s        |NO3 tendency from DARWIN
   651 |gDAR03  | 23 |       |SMR     MR|mmolN//s        |NO2 tendency from DARWIN
   652 |gDAR04  | 23 |       |SMR     MR|mmolN//s        |NH4 tendency from DARWIN
   653 |gDAR05  | 23 |       |SMR     MR|mmolP//s        |PO4 tendency from DARWIN
   654 |gDAR06  | 23 |       |SMR     MR|mmolFe/s        |FeT tendency from DARWIN
   655 |gDAR07  | 23 |       |SMR     MR|mmolSi/s        |SiO2 tendency from DARWIN
   656 |gDAR08  | 23 |       |SMR     MR|mmolC//s        |DOC tendency from DARWIN
   657 |gDAR09  | 23 |       |SMR     MR|mmolN//s        |DON tendency from DARWIN
   658 |gDAR10  | 23 |       |SMR     MR|mmolP//s        |DOP tendency from DARWIN
   659 |gDAR11  | 23 |       |SMR     MR|mmolFe/s        |DOFe tendency from DARWIN
   660 |gDAR12  | 23 |       |SMR     MR|mmolC//s        |POC tendency from DARWIN
   661 |gDAR13  | 23 |       |SMR     MR|mmolN//s        |PON tendency from DARWIN
   662 |gDAR14  | 23 |       |SMR     MR|mmolP//s        |POP tendency from DARWIN
   663 |gDAR15  | 23 |       |SMR     MR|mmolFe/s        |POFe tendency from DARWIN
   664 |gDAR16  | 23 |       |SMR     MR|mmolSi/s        |POSi tendency from DARWIN
   665 |gDAR17  | 23 |       |SMR     MR|mmolC//s        |PIC tendency from DARWIN
   666 |gDAR18  | 23 |       |SMR     MR|mmoleq/s        |ALK tendency from DARWIN
   667 |gDAR19  | 23 |       |SMR     MR|mmolO//s        |O2 tendency from DARWIN
   668 |gDAR20  | 23 |       |SMR     MR|mmolC//s        |c01 tendency from DARWIN
   669 |gDAR21  | 23 |       |SMR     MR|logxmm/s        |xm01 tendency from DARWIN
   670 |gDAR22  | 23 |       |SMR     MR|degCmm/s        |ym01 tendency from DARWIN
   671 |gDAR23  | 23 |       |SMR     MR|logzmm/s        |zm01 tendency from DARWIN
   672 |gDAR24  | 23 |       |SMR     MR|logx^2/s        |xxv01 tendency from DARWIN
   673 |gDAR25  | 23 |       |SMR     MR|degC^2/s        |yyv01 tendency from DARWIN
   674 |gDAR26  | 23 |       |SMR     MR|logz^2/s        |zzv01 tendency from DARWIN
   675 |gDAR27  | 23 |       |SMR     MR|logxde/s        |xyc01 tendency from DARWIN
   676 |gDAR28  | 23 |       |SMR     MR|logxlo/s        |xzc01 tendency from DARWIN
   677 |gDAR29  | 23 |       |SMR     MR|degClo/s        |yzc01 tendency from DARWIN
   678 |gDAR30  | 23 |       |SMR     MR|mmolC//s        |c02 tendency from DARWIN
   679 |PP0001  | 23 |       |SMRP    MR|mmol C/m^3/s    |Primary Production plankton    1
   680 |GR0001  | 23 |       |SMRP    MR|mmol C/m^3/s    |Grazing loss of plankton    1
   681 |GrGn0001| 23 |       |SMRP    MR|mmol C/m^3/s    |Grazing gain of plankton    1
   682 |PP0002  | 23 |       |SMRP    MR|mmol C/m^3/s    |Primary Production plankton    2
   683 |GR0002  | 23 |       |SMRP    MR|mmol C/m^3/s    |Grazing loss of plankton    2
   684 |GrGn0002| 23 |       |SMRP    MR|mmol C/m^3/s    |Grazing gain of plankton    2
   685 |sfcSolFe|  1 |       |SM P    L1|mmol Fe/m2/s    |Soluble iron input at sea surface
   686 |pH      | 23 |       |SMR     MR|1               |pH
   687 |pCO2    | 23 |       |SMRP    MR|atm             |Partial Pressure of CO2
   688 |fugfCO2 |  1 |       |SM P    L1|atm             |Fugacity factor of CO2 (atm)
   689 |fluxCO2 |  1 |       |SM      L1|mmol C/m2/s     |Flux of CO2 - air-sea exch
   690 |gDICsurf|  1 |       |SM      L1|mmol C/m3/s     |Tendency of DIC due to air-sea exch + oldvirt.flux
   691 |gALKsurf|  1 |       |SM      L1|mmol eq/m3/s    |Tendency of ALK due to oldvirt.flux
   692 |gO2surf |  1 |       |SM      L1|mmol O2/m3/s    |Tendency of O2 due to air-sea exch
   693 |surfPAR |  1 |       |SM P    L1|uEin/m^2/s      |PAR forcing at surface
   694 |surfiron|  1 |       |SM P    L1|mmol Fe/m^2/s   |iron forcing at surface
   695 |DARice  |  1 |       |SM P    L1|m^2/m^2         |ice area fraction
   696 |DARwind |  1 |       |SM P    L1|m/s             |wind speed used for carbon exchange
   697 |surfpCO2|  1 |       |SM P    L1|mol/mol         |surface pCO2
   698 |GC_Tr01 | 23 |       |SMR     MR|mmol C/         |DIC concentration before GCHEM
   699 |GC_Tr02 | 23 |       |SMR     MR|mmol N/         |NO3 concentration before GCHEM
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   700 |GC_Tr03 | 23 |       |SMR     MR|mmol N/         |NO2 concentration before GCHEM
   701 |GC_Tr04 | 23 |       |SMR     MR|mmol N/         |NH4 concentration before GCHEM
   702 |GC_Tr05 | 23 |       |SMR     MR|mmol P/         |PO4 concentration before GCHEM
   703 |GC_Tr06 | 23 |       |SMR     MR|mmol Fe         |FeT concentration before GCHEM
   704 |GC_Tr07 | 23 |       |SMR     MR|mmol Si         |SiO2 concentration before GCHEM
   705 |GC_Tr08 | 23 |       |SMR     MR|mmol C/         |DOC concentration before GCHEM
   706 |GC_Tr09 | 23 |       |SMR     MR|mmol N/         |DON concentration before GCHEM
   707 |GC_Tr10 | 23 |       |SMR     MR|mmol P/         |DOP concentration before GCHEM
   708 |GC_Tr11 | 23 |       |SMR     MR|mmol Fe         |DOFe concentration before GCHEM
   709 |GC_Tr12 | 23 |       |SMR     MR|mmol C/         |POC concentration before GCHEM
   710 |GC_Tr13 | 23 |       |SMR     MR|mmol N/         |PON concentration before GCHEM
   711 |GC_Tr14 | 23 |       |SMR     MR|mmol P/         |POP concentration before GCHEM
   712 |GC_Tr15 | 23 |       |SMR     MR|mmol Fe         |POFe concentration before GCHEM
   713 |GC_Tr16 | 23 |       |SMR     MR|mmol Si         |POSi concentration before GCHEM
   714 |GC_Tr17 | 23 |       |SMR     MR|mmol C/         |PIC concentration before GCHEM
   715 |GC_Tr18 | 23 |       |SMR     MR|mmol eq         |ALK concentration before GCHEM
   716 |GC_Tr19 | 23 |       |SMR     MR|mmol O/         |O2 concentration before GCHEM
   717 |GC_Tr20 | 23 |       |SMR     MR|mmol C/         |c01 concentration before GCHEM
   718 |GC_Tr21 | 23 |       |SMR     MR|logx mm         |xm01 concentration before GCHEM
   719 |GC_Tr22 | 23 |       |SMR     MR|degC mm         |ym01 concentration before GCHEM
   720 |GC_Tr23 | 23 |       |SMR     MR|logz mm         |zm01 concentration before GCHEM
   721 |GC_Tr24 | 23 |       |SMR     MR|logx^2          |xxv01 concentration before GCHEM
   722 |GC_Tr25 | 23 |       |SMR     MR|degC^2          |yyv01 concentration before GCHEM
   723 |GC_Tr26 | 23 |       |SMR     MR|logz^2          |zzv01 concentration before GCHEM
   724 |GC_Tr27 | 23 |       |SMR     MR|logx de         |xyc01 concentration before GCHEM
   725 |GC_Tr28 | 23 |       |SMR     MR|logx lo         |xzc01 concentration before GCHEM
   726 |GC_Tr29 | 23 |       |SMR     MR|degC lo         |yzc01 concentration before GCHEM
   727 |GC_Tr30 | 23 |       |SMR     MR|mmol C/         |c02 concentration before GCHEM
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
